No,Attributes
0,bias
1,word.lower():cangkang
2,word[-3:]:ang
3,word[-2:]:ng
4,word[:3]:Can
5,word[:2]:Ca
6,stopword
7,word.isupper()
8,word.istitle()
9,word.isdigit()
10,postag:NNP
11,postag[:2]:NN
12,BOS
13,+1:word.lower():kerang
14,+1:word.istitle()
15,+1:word.isupper()
16,+1:stopword
17,+1:postag:NNP
18,+1:postag[:2]:NN
19,word.lower():kerang
20,word[:3]:Ker
21,word[:2]:Ke
22,-1:word.lower():cangkang
23,-1:word.istitle()
24,-1:stopword
25,-1:word.isupper()
26,-1:postag:NNP
27,-1:postag[:2]:NN
28,+1:word.lower():simping
29,word.lower():simping
30,word[-3:]:ing
31,word[:3]:Sim
32,word[:2]:Si
33,-1:word.lower():kerang
34,+1:word.lower():kipas
35,word.lower():kipas
36,word[-3:]:pas
37,word[-2:]:as
38,word[:3]:Kip
39,word[:2]:Ki
40,-1:word.lower():simping
41,EOS
42,word.lower():philips
43,word[-3:]:ips
44,word[-2:]:ps
45,word[:3]:Phi
46,word[:2]:Ph
47,+1:word.lower():car
48,word.lower():car
49,word[-3:]:Car
50,word[-2:]:ar
51,word[:3]:Car
52,-1:word.lower():philips
53,+1:word.lower():mount
54,word.lower():mount
55,word[-3:]:unt
56,word[-2:]:nt
57,word[:3]:Mou
58,word[:2]:Mo
59,-1:word.lower():car
60,+1:word.lower():hp
61,word.lower():hp
62,word[-3:]:HP
63,word[-2:]:HP
64,word[:3]:HP
65,word[:2]:HP
66,-1:word.lower():mount
67,+1:word.lower():phone
68,word.lower():phone
69,word[-3:]:one
70,word[-2:]:ne
71,word[:3]:Pho
72,-1:word.lower():hp
73,+1:word.lower():charger
74,word.lower():charger
75,word[-3:]:ger
76,word[-2:]:er
77,word[:3]:Cha
78,word[:2]:Ch
79,-1:word.lower():phone
80,+1:word.lower():holder
81,word.lower():holder
82,word[-3:]:der
83,word[:3]:Hol
84,word[:2]:Ho
85,-1:word.lower():charger
86,+1:word.lower():universal
87,word.lower():universal
88,word[-3:]:sal
89,word[-2:]:al
90,word[:3]:Uni
91,word[:2]:Un
92,-1:word.lower():holder
93,+1:word.lower():di
94,+1:postag:IN
95,+1:postag[:2]:IN
96,word.lower():di
97,word[-3:]:di
98,word[-2:]:di
99,word[:3]:di
100,word[:2]:di
101,postag:IN
102,postag[:2]:IN
103,-1:word.lower():universal
104,+1:word.lower():mobil
105,+1:postag:NN
106,word.lower():mobil
107,word[-3:]:bil
108,word[-2:]:il
109,word[:3]:mob
110,word[:2]:mo
111,postag:NN
112,-1:word.lower():di
113,-1:postag:IN
114,-1:postag[:2]:IN
115,+1:word.lower():dlk13011b
116,word.lower():dlk13011b
117,word[-3:]:11B
118,word[-2:]:1B
119,word[:3]:DLK
120,word[:2]:DL
121,-1:word.lower():mobil
122,-1:postag:NN
123,+1:word.lower():vxz
124,word.lower():vxz
125,word[-3:]:VXZ
126,word[-2:]:XZ
127,word[:3]:VXZ
128,word[:2]:VX
129,-1:word.lower():dlk13011b
130,word.lower():synergy
131,word[-3:]:RGY
132,word[-2:]:GY
133,word[:3]:SYN
134,word[:2]:SY
135,+1:word.lower():labs
136,word.lower():labs
137,word[-3:]:ABS
138,word[-2:]:BS
139,word[:3]:LAB
140,word[:2]:LA
141,-1:word.lower():synergy
142,+1:word.lower():dog
143,word.lower():dog
144,word[-3:]:Dog
145,word[-2:]:og
146,word[:3]:Dog
147,word[:2]:Do
148,-1:word.lower():labs
149,+1:word.lower():whisperer
150,word.lower():whisperer
151,word[-3:]:rer
152,word[:3]:Whi
153,word[:2]:Wh
154,-1:word.lower():dog
155,+1:word.lower():flea
156,word.lower():flea
157,word[-3:]:lea
158,word[-2:]:ea
159,word[:3]:Fle
160,word[:2]:Fl
161,-1:word.lower():whisperer
162,+1:word.lower():&
163,word.lower():&
164,word[-3:]:&
165,word[-2:]:&
166,word[:3]:&
167,word[:2]:&
168,-1:word.lower():flea
169,+1:word.lower():tick
170,word.lower():tick
171,word[-3:]:ick
172,word[-2:]:ck
173,word[:3]:Tic
174,word[:2]:Ti
175,-1:word.lower():&
176,+1:word.lower():shampoo
177,word.lower():shampoo
178,word[-3:]:poo
179,word[-2:]:oo
180,word[:3]:Sha
181,word[:2]:Sh
182,-1:word.lower():tick
183,+1:word.lower():16oz
184,+1:postag:CD
185,+1:postag[:2]:CD
186,word.lower():16oz
187,word[-3:]:6oz
188,word[-2:]:oz
189,word[:3]:16o
190,word[:2]:16
191,postag:CD
192,postag[:2]:CD
193,-1:word.lower():shampoo
194,word.lower():dhs
195,word[-3:]:DHS
196,word[-2:]:HS
197,word[:3]:DHS
198,word[:2]:DH
199,+1:word.lower():hurricane-ii
200,word.lower():hurricane-ii
201,word[-3:]:-II
202,word[-2:]:II
203,word[:3]:HUR
204,word[:2]:HU
205,-1:word.lower():dhs
206,+1:word.lower():tournament
207,word.lower():tournament
208,word[-3:]:ent
209,word[:3]:Tou
210,word[:2]:To
211,-1:word.lower():hurricane-ii
212,+1:word.lower():ping
213,word.lower():ping
