,Label,GT,TP,TN,FP,FN,Precision,Recall,F1-Score
0,B-BRAND,2940,124,2659,30,127,0.8051948051948052,0.4940239043824701,0.6123456790123457
1,B-NAME,2940,68,2691,46,135,0.5964912280701754,0.33497536945812806,0.42902208201892744
2,I-NAME,2940,88,2630,113,109,0.43781094527363185,0.4467005076142132,0.4422110552763819
3,B-PROCESSOR,2940,2,2934,0,4,1.0,0.3333333333333333,0.5
4,B-RAM,2940,6,2927,0,7,1.0,0.46153846153846156,0.631578947368421
5,B-CAPACITY,2940,8,2920,3,9,0.7272727272727273,0.47058823529411764,0.5714285714285714
6,B-TYPE,2940,182,2435,72,251,0.7165354330708661,0.42032332563510394,0.529839883551674
7,B-OS,2940,3,2929,0,8,1.0,0.2727272727272727,0.42857142857142855
8,B-DIMENSION,2940,8,2898,4,30,0.6666666666666666,0.21052631578947367,0.32
9,I-TYPE,2940,233,2256,171,280,0.5767326732673267,0.45419103313840153,0.5081788440567067
10,I-BRAND,2940,8,2882,7,43,0.5333333333333333,0.1568627450980392,0.2424242424242424
11,B-COLOR,2940,63,2845,7,25,0.9,0.7159090909090909,0.7974683544303798
12,B-MASS,2940,2,2922,3,13,0.4,0.13333333333333333,0.2
13,I-RAM,2940,1,2939,0,0,1.0,1.0,1.0
14,I-COLOR,2940,2,2931,3,4,0.4,0.3333333333333333,0.3636363636363636
15,B-GENDER,2940,16,2915,2,7,0.8888888888888888,0.6956521739130435,0.7804878048780488
16,B-THEME,2940,2,2899,0,39,1.0,0.04878048780487805,0.09302325581395349
17,B-MATERIAL,2940,3,2892,7,38,0.3,0.07317073170731707,0.11764705882352941
18,I-DIMENSION,2940,3,2924,0,13,1.0,0.1875,0.3157894736842105
19,I-MATERIAL,2940,1,2926,3,10,0.25,0.09090909090909091,0.13333333333333333
20,B-SIZE,2940,7,2905,5,23,0.5833333333333334,0.23333333333333334,0.33333333333333337
21,I-SIZE,2940,0,2934,0,6,,0.0,
22,I-THEME,2940,1,2911,1,27,0.5,0.03571428571428571,0.06666666666666667
23,B-SHAPE,2940,0,2937,0,3,,0.0,
24,B-AGE,2940,4,2916,3,17,0.5714285714285714,0.19047619047619047,0.2857142857142857
25,I-AGE,2940,0,2936,0,4,,0.0,
26,I-MASS,2940,1,2937,1,1,0.5,0.5,0.5
27,I-OS,2940,3,2932,0,5,1.0,0.375,0.5454545454545454
28,I-SHAPE,2940,0,2939,0,1,,0.0,
29,I-PROCESSOR,2940,3,2936,0,1,1.0,0.75,0.8571428571428571
30,I-GENDER,2940,0,2940,0,0,,,
31,I-CAPACITY,2940,2,2936,0,2,1.0,0.5,0.6666666666666666
