bias,word.lower(),word.isupper(),word.istitle(),word.isdigit(),hasNumber,word[-3:],word[:3],stopword,postag,BOS,-1:word.lower(),-1:word.istitle(),-1:word.isupper(),-1:word.isdigit(),-1:hasNumber,-1:stopword,-1:postag,+1:word.lower(),+1:word.istitle(),+1:word.isupper(),+1:word.isdigit(),+1:hasNumber,+1:stopword,+1:postag,EOS
1.0,realme,False,False,False,False,lme,rea,False,NN,True,None,None,None,None,None,None,None,c2,True,True,False,True,False,CD,False,B-BRAND
1.0,c2,True,True,False,True,C2,C2,False,CD,realme,False,False,False,False,False,NN,False,2/32gb,False,True,False,True,False,CD,False,B-NAME
1.0,2/32gb,True,False,False,True,2GB,2/3,False,CD,c2,True,True,False,True,False,CD,False,resmi,True,False,False,False,False,NNP,False,B-CAPACITY
1.0,resmi,False,True,False,False,smi,Res,False,NNP,2/32gb,False,True,False,True,False,CD,False,tam,False,True,False,False,False,NNP,False,O
1.0,tam,True,False,False,False,TAM,TAM,False,NNP,resmi,True,False,False,False,False,NNP,False,layar,True,False,False,False,False,NNP,False,O
1.0,layar,False,True,False,False,yar,Lay,False,NNP,tam,False,True,False,False,False,NNP,False,penuh,True,False,False,False,False,NNP,False,O
1.0,penuh,False,True,False,False,nuh,Pen,False,NNP,layar,True,False,False,False,False,NNP,False,dewdrop,True,False,False,False,False,NNP,False,O
1.0,dewdrop,False,True,False,False,rop,Dew,False,NNP,penuh,True,False,False,False,False,NNP,False,kamera,True,False,False,False,False,NNP,False,O
1.0,kamera,False,True,False,False,era,Kam,False,NNP,dewdrop,True,False,False,False,False,NNP,False,ganda,True,False,False,False,False,NNP,False,B-TYPE
1.0,ganda,False,True,False,False,nda,Gan,False,NNP,kamera,True,False,False,False,False,NNP,False,13mp,False,True,False,True,False,CD,False,O
1.0,13mp,True,False,False,True,3MP,13M,False,CD,ganda,True,False,False,False,False,NNP,False,2,False,False,True,True,False,CD,False,O
1.0,2,False,False,True,True,2,2,False,CD,13mp,False,True,False,True,False,CD,False,mp,False,True,False,False,False,NNP,False,O
1.0,mp,True,False,False,False,MP,MP,False,NNP,2,False,False,True,True,False,CD,False,ai,False,True,False,False,False,NNP,False,O
1.0,ai,True,False,False,False,AI,AI,False,NNP,mp,False,True,False,False,False,NNP,False,True,None,None,None,None,None,None,None,O
1.0,redmi,False,True,False,False,dmi,Red,False,NN,True,None,None,None,None,None,None,None,7,False,False,True,True,False,CD,False,B-BRAND
1.0,7,False,False,True,True,7,7,False,CD,redmi,True,False,False,False,False,NN,False,2/16gb,False,True,False,True,False,CD,False,B-NAME
1.0,2/16gb,True,False,False,True,6GB,2/1,False,CD,7,False,False,True,True,False,CD,False,resmi,True,False,False,False,False,NNP,False,B-CAPACITY
1.0,resmi,False,True,False,False,smi,Res,False,NNP,2/16gb,False,True,False,True,False,CD,False,tam,False,True,False,False,False,NNP,False,O
1.0,tam,True,False,False,False,TAM,TAM,False,NNP,resmi,True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,O
1.0,pc,True,False,False,False,PC,PC,False,NNP,True,None,None,None,None,None,None,None,intel,True,False,False,False,False,NNP,False,B-TYPE
1.0,intel,False,True,False,False,tel,Int,False,NNP,pc,False,True,False,False,False,NNP,False,core,True,False,False,False,False,NNP,False,B-PROCESSOR
1.0,core,False,True,False,False,ore,Cor,False,NNP,intel,True,False,False,False,False,NNP,False,i7,False,False,False,True,False,NNP,False,I-PROCESSOR
1.0,i7,False,False,False,True,i7,i7,False,NNP,core,True,False,False,False,False,NNP,False,ram,True,False,False,False,False,NNP,False,I-PROCESSOR
1.0,ram,False,True,False,False,Ram,Ram,False,NNP,i7,False,False,False,True,False,NNP,False,16gb,True,False,False,True,False,NNP,False,B-RAM
1.0,16gb,False,True,False,True,6Gb,16G,False,NNP,ram,True,False,False,False,False,NNP,False,vga,True,False,False,False,False,NNP,False,I-RAM
1.0,vga,False,True,False,False,Vga,Vga,False,NNP,16gb,True,False,False,True,False,NNP,False,gtx1650,True,False,False,True,False,NNP,False,O
1.0,gtx1650,False,True,False,True,650,Gtx,False,NNP,vga,True,False,False,False,False,NNP,False,4gb,True,False,False,True,False,CD,False,O
1.0,4gb,False,True,False,True,4Gb,4Gb,False,CD,gtx1650,True,False,False,True,False,NNP,False,ddr5,True,False,False,True,False,CD,False,B-RAM
1.0,ddr5,False,True,False,True,dr5,Ddr,False,CD,4gb,True,False,False,True,False,CD,False,True,None,None,None,None,None,None,None,I-RAM
1.0,laptop,False,True,False,False,top,Lap,False,NNP,True,None,None,None,None,None,None,None,amd,False,True,False,False,False,NNP,False,B-TYPE
1.0,amd,True,False,False,False,AMD,AMD,False,NNP,laptop,True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,B-BRAND
1.0,laptop,False,True,False,False,top,Lap,False,NNP,True,None,None,None,None,None,None,None,intel,True,False,False,False,False,NNP,False,B-TYPE
1.0,intel,False,True,False,False,tel,Int,False,NNP,laptop,True,False,False,False,False,NNP,False,windows,True,False,False,False,False,NNP,False,B-BRAND
1.0,windows,False,True,False,False,ows,Win,False,NNP,intel,True,False,False,False,False,NNP,False,10,False,False,True,True,False,NPP,False,B-OS
1.0,10,False,False,True,True,10,10,False,NPP,windows,True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,B-OS
