,target,feature,weight
0,O,-1:word.istitle(),0.569024
1,O,+1:postag:NNP,0.482887
2,O,EOS,0.403066
3,O,word[-2:]:si,0.403066
4,O,word[-3:]:nsi,0.403066
5,O,word.lower():bergaransi,0.403066
6,O,-1:word.lower():tas,0.403066
7,O,+1:postag[:2]:NN,0.386218
8,O,word[-3:]:omo,0.374158
9,O,word[-2:]:mo,0.374158
10,O,BOS,0.374158
11,O,+1:word.lower():notebook,0.374158
12,O,word.lower():promo,0.374158
13,O,word.istitle(),0.346374
14,O,postag:NNP,0.284629
15,O,bias,0.280244
16,O,word.lower():41,0.279873
17,O,word[-2:]:41,0.279873
18,O,+1:word.lower():amd,0.279873
19,O,word.isupper(),-0.499121
20,B-BRAND,+1:word.lower():aspire,0.466849
21,B-BRAND,word.lower():acer,0.466849
22,B-BRAND,word[-3:]:cer,0.466849
23,B-BRAND,word[-2:]:er,0.466849
24,B-BRAND,-1:word.lower():baru,0.466849
25,B-BRAND,word[-3:]:AMD,0.385357
26,B-BRAND,word.lower():amd,0.385357
27,B-BRAND,word[-2:]:MD,0.385357
28,B-BRAND,-1:word.lower():41,0.385357
29,B-BRAND,+1:word.lower():ryzen,0.260398
30,B-BRAND,+1:postag:NNP,0.182989
31,B-BRAND,+1:postag[:2]:NN,0.120673
32,B-BRAND,+1:word.istitle(),0.113105
33,B-BRAND,-1:word.istitle(),-0.014247
34,B-BRAND,+1:word.isupper(),-0.018574
35,B-BRAND,-1:postag[:2]:NN,-0.048864
36,B-BRAND,-1:word.isupper(),-0.06867
37,B-BRAND,word.istitle(),-0.129174
38,I-BRAND,-1:word.lower():aspire,0.691759
39,I-BRAND,+1:word.lower():a315,0.691759
40,I-BRAND,-1:postag:NNP,0.593808
41,I-BRAND,-1:word.lower():amd,0.557143
42,I-BRAND,+1:word.lower():ryzen,0.457571
43,I-BRAND,-1:postag[:2]:NN,0.446004
44,I-BRAND,word.lower():aspire,0.38585
45,I-BRAND,word[-3:]:ire,0.38585
46,I-BRAND,-1:word.lower():acer,0.38585
47,I-BRAND,word[-2:]:re,0.38585
48,I-BRAND,+1:postag[:2]:CD,0.196905
49,I-BRAND,+1:postag:CD,0.196905
50,I-BRAND,word[-3:]:zen,0.105757
51,I-BRAND,word[-2:]:en,0.105757
52,I-BRAND,word.lower():ryzen,0.105757
53,I-BRAND,word[-3:]:3,0.102673
54,I-BRAND,word[-2:]:3,0.102673
55,I-BRAND,word.lower():3,0.102673
56,I-BRAND,+1:word.istitle(),0.043649
57,I-BRAND,word.isupper(),-0.118719
58,B-CAPACITY,-1:word.lower():4gb,0.478351
59,B-CAPACITY,word.lower():1tb,0.478351
60,B-CAPACITY,word[-3:]:1TB,0.478351
61,B-CAPACITY,word[-2:]:TB,0.478351
62,B-CAPACITY,+1:word.lower():w10,0.478351
63,B-CAPACITY,postag:CD,0.071637
64,B-CAPACITY,postag[:2]:CD,0.071637
65,B-CAPACITY,-1:word.isupper(),0.060893
66,B-CAPACITY,+1:word.isupper(),0.051859
67,B-CAPACITY,-1:postag:CD,0.040956
68,B-CAPACITY,-1:postag[:2]:CD,0.040956
69,B-CAPACITY,word.isupper(),0.017166
70,B-CAPACITY,-1:word.istitle(),-0.111148
