key,value
"('bias', 'B-TYPE')",0.957136
"('bias', 'B-BRAND')",0.953493
"('bias', 'O')",1.873616
"('bias', 'I-BRAND')",-0.502338
"('bias', 'B-NAME')",0.640773
"('bias', 'B-PROCESSOR')",-0.288694
"('bias', 'I-PROCESSOR')",-0.208212
"('bias', 'B-RAM')",-0.37768
"('bias', 'I-RAM')",-0.317202
"('bias', 'B-CAPACITY')",-0.01798
"('bias', 'B-OS')",-0.208306
"('bias', 'I-TYPE')",0.029981
"('bias', 'I-CAPACITY')",0.101635
"('bias', 'B-COLOR')",0.524398
"('bias', 'I-NAME')",0.033685
"('bias', 'B-THEME')",0.541419
"('bias', 'I-THEME')",-0.077385
"('bias', 'B-AGE')",0.143491
"('bias', 'B-GENDER')",-0.025285
"('bias', 'B-SIZE')",0.222219
"('bias', 'B-SHAPE')",0.029904
"('bias', 'B-MATERIAL')",0.42823
"('bias', 'B-MASS')",0.080755
"('bias', 'I-MASS')",-0.048101
"('bias', 'I-COLOR')",-0.24744
"('bias', 'B-DIMENSION')",0.323729
"('bias', 'I-MATERIAL')",-0.514258
"('bias', 'I-SHAPE')",-0.067679
"('bias', 'I-DIMENSION')",0.242955
"('bias', 'I-AGE')",-0.042524
"('bias', 'I-SIZE')",0.026832
"('bias', 'I-OS')",-0.02354
"('bias', 'B-STORAGE')",-2.05191
"('bias', 'I-STORAGE')",-0.725941
"('bias', 'B-CAMERA')",-0.168478
"('bias', 'I-CAMERA')",-0.358517
"('bias', 'B-CPU')",-0.653899
"('bias', 'B-GRAPHIC')",-0.031548
"('bias', 'B-MEMORY')",-0.373986
"('bias', 'I-CPU')",-0.499849
"('bias', 'B-DISPLAY')",-0.302312
"('bias', 'I-DISPLAY')",-0.470516
"('bias', 'I-GENDER')",-0.704212
"('word.lower():laptop', 'B-TYPE')",0.369088
"('word.lower():laptop', 'O')",0.448705
"('word.lower():laptop', 'I-TYPE')",0.838923
"('word[-3:]:top', 'B-TYPE')",1.753375
"('word[-3:]:top', 'O')",0.264477
"('word[-3:]:top', 'I-TYPE')",1.220269
"('word[-2:]:op', 'B-TYPE')",0.483902
"('word[-2:]:op', 'O')",0.363353
"('word[-2:]:op', 'B-NAME')",-0.103249
"('word[-2:]:op', 'I-TYPE')",0.577213
"('word[-2:]:op', 'I-NAME')",-0.302949
"('word[-2:]:op', 'B-MATERIAL')",0.208788
"('word.isupper()', 'B-TYPE')",-0.334773
"('word.isupper()', 'B-BRAND')",-0.085302
"('word.isupper()', 'O')",-0.010593
"('word.isupper()', 'I-BRAND')",-0.207164
"('word.isupper()', 'B-NAME')",1.549705
"('word.isupper()', 'B-PROCESSOR')",-1.392935
"('word.isupper()', 'I-PROCESSOR')",0.058077
"('word.isupper()', 'B-RAM')",0.836159
"('word.isupper()', 'I-RAM')",0.7962
"('word.isupper()', 'B-CAPACITY')",0.41006
"('word.isupper()', 'B-OS')",-0.267854
"('word.isupper()', 'I-TYPE')",-0.511947
"('word.isupper()', 'I-CAPACITY')",0.063638
"('word.isupper()', 'B-COLOR')",-0.143852
"('word.isupper()', 'I-NAME')",0.715264
"('word.isupper()', 'B-THEME')",0.153792
"('word.isupper()', 'I-THEME')",-0.078446
"('word.isupper()', 'B-AGE')",-0.075609
"('word.isupper()', 'B-GENDER')",-0.002877
"('word.isupper()', 'B-SIZE')",0.685646
"('word.isupper()', 'B-SHAPE')",-0.832945
"('word.isupper()', 'B-MATERIAL')",0.197214
"('word.isupper()', 'B-MASS')",-0.406683
"('word.isupper()', 'I-COLOR')",-1.14223
"('word.isupper()', 'B-DIMENSION')",-0.860408
"('word.isupper()', 'I-MATERIAL')",0.380574
"('word.isupper()', 'I-SHAPE')",-0.169202
"('word.isupper()', 'I-DIMENSION')",-0.503869
"('word.isupper()', 'I-SIZE')",0.759002
"('word.isupper()', 'I-OS')",-0.473431
"('word.isupper()', 'B-STORAGE')",0.218876
"('word.isupper()', 'I-STORAGE')",0.013498
"('word.isupper()', 'B-CPU')",-0.510894
"('word.isupper()', 'B-GRAPHIC')",0.089427
