,target,feature,weight
0,O,postag:Z,2.924279
1,O,bias,2.188717
2,O,word.lower():for,1.885277
3,O,word[-3:]:ual,1.858152
4,O,word.lower():promo,1.822822
5,O,word.lower():original,1.68733
6,O,BOS,1.680989
7,O,stopword,1.56441
8,O,EOS,1.560891
9,O,word[:3]:TER,1.541592
10,O,word[:3]:TYP,1.473753
11,O,word[-3:]:tif,1.390662
12,O,word.lower():motif,1.265503
13,O,word.lower():jual,1.249519
14,O,word.lower():diskon,1.248387
15,O,word.lower():unik,1.231933
16,O,word.lower():murah,1.227239
17,O,word[-3:]:han,1.162317
18,O,word.lower():premium,1.161528
19,O,word[:3]:Ori,1.146057
20,O,word[:3]:Pre,1.110019
21,O,word[-3:]:for,1.100594
22,O,word[-3:]:ntl,1.089733
23,O,word.lower():intl,1.089733
24,O,word.lower():isi,1.081332
25,O,word.lower():new,1.065571
26,O,word[-3:]:pcs,1.060208
27,O,word[:3]:Cla,1.054693
28,O,word[-3:]:rna,1.045833
29,O,word.lower():dijual,1.035343
30,O,word[:3]:Dij,1.035343
31,O,+1:word.lower():20170821,1.034783
32,O,word[-3:]:nal,1.025655
33,O,word[-3:]:tas,1.014515
34,O,word[:3]:201,1.013274
35,O,word[:3]:for,1.012188
36,O,word[-3:]:omo,0.994013
37,O,word[-3:]:nik,0.98784
38,O,word.lower():with,0.979863
39,O,word.lower():bahan,0.976261
40,O,+1:word.lower():pcs,0.975873
41,O,word[:3]:Jua,0.970925
42,O,word.lower():warna,0.967726
43,O,word.lower():berkualitas,0.96605
44,O,word.lower():best,0.965064
45,O,word.lower():khusus,0.957492
46,O,word[:3]:int,0.944566
47,O,word[:3]:wit,0.941874
48,O,word[:3]:ORI,0.941189
49,O,word[-3:]:tuk,0.941077
50,O,word.lower():fashion,0.930086
51,O,word.lower():terbaru,0.915567
52,O,word.lower():limited,0.907642
53,O,word[-3:]:nsi,0.907177
54,O,word.lower():free,0.903705
55,O,word.lower():sale,0.903372
56,O,word[-3:]:ree,0.902524
57,O,-1:word.lower():canon,0.895188
58,O,word[-3:]:REE,0.890089
59,O,word[-3:]:ipe,0.878723
60,O,word[:3]:PRO,0.876121
61,O,+1:word.lower():quality,0.861459
62,O,word[-3:]:nya,0.85757
63,O,word[:3]:Mod,0.844009
64,O,word[-3:]:ial,0.84173
65,O,word.lower():garansi,0.839243
66,O,word[:3]:Kod,0.837044
67,O,word[:3]:Sty,0.836669
68,O,word.lower():untuk,0.83644
69,O,word[:3]:Uni,0.835878
70,O,-1:word.lower():resmi,0.8317
71,O,+1:word.lower():sachet,0.828679
72,O,-1:word.lower():player,0.828062
73,O,word[-3:]:ble,0.814872
74,O,word[-3:]:kon,0.806336
75,O,word[:3]:MUR,0.804416
76,O,word[-3:]:aru,0.801793
77,O,word.lower():paket,0.79977
78,O,word[-3:]:sia,0.797655
79,O,word[-3:]:Isi,0.793877
80,O,-1:word.lower():15,0.791204
81,O,-1:word.lower():with,0.787954
82,O,word.lower():quality,0.771766
83,O,word.lower():size,0.770949
84,O,-1:word.lower():best,0.769311
85,O,word.lower():import,0.767784
86,O,word.lower():all,0.766637
87,O,word[-3:]:but,0.762137
88,O,word.isdigit(),0.761113
89,O,word[-3:]:Pcs,0.759976
90,O,word[:3]:Res,0.757182
91,O,word[:3]:Des,0.756575
92,O,+1:word.lower():s,0.755821
93,O,word[-3:]:rah,0.751879
94,O,word.lower():ukuran,0.751791
95,O,word[-3:]:NAL,0.749235
96,O,word[-3:]:sli,0.748254
97,O,word[-3:]:ort,0.743988
98,O,word[-3:]:los,0.741285
99,O,word[-3:]:OMO,0.740519
100,O,word[-3:]:tis,0.740023
101,O,word[-3:]:ode,0.739389
102,O,word[:3]:-,0.738163
103,O,word[-3:]:-,0.738163
