Word,POS,Label
realme,NN,B-BRAND
C2,CD,B-NAME
2/32GB,CD,I-CAPACITY
Redmi,NN,B-BRAND
7,CD,B-NAME
2/16GB,CD,I-CAPACITY
Resmi,NNP,O
TAM,NNP,O
PC,NNP,B-TYPE
Intel,NNP,B-PROCESSOR
Core,NNP,I-PROCESSOR
i7,NNP,I-PROCESSOR
Ram,NNP,B-RAM
16Gb,NNP,I-RAM
Vga,NNP,O
Gtx1650,NNP,O
4Gb,CD,B-RAM
Ddr5,CD,I-RAM
Laptop,NNP,B-TYPE
AMD,NNP,B-BRAND
Laptop,NNP,B-TYPE
Intel,NNP,B-BRAND
Handphone,NNP,B-TYPE
Xiomi,NNP,B-BRAND
redmi,VB,B-NAME
note,NN,I-NAME
3,CD,I-NAME
RAM,NN,B-RAM
2gb/16gb,CD,I-RAM
Lolipop,NN,B-OS
garansi,NN,O
1,CD,O
tahun,NN,O
[Exclusive,FW,O
Lazada],NNP,O
HP,NNP,B-BRAND
15-DB0005AU,CD,B-NAME
AMD,NNP,B-BRAND
Dual-Core,NNP,B-PROCESSOR
E2-9000e,NNP,B-NAME
4,CD,B-RAM
GB,NNP,I-RAM
DDR4,NNP,I-RAM
500,NNP,B-CAPACITY
GB,NNP,I-CAPACITY
W10,NNP,B-OS
Black,NNP,B-COLOR
Laptop,NNP,B-TYPE
Murah,NNP,O
(Gratis,NNP,O
Tas),NNP,O
Bergaransi,NNP,O
theclover,IN,B-BRAND
KEMEJA,NNP,B-TYPE
POLOS,NNP,I-TYPE
SLIM,NNP,I-TYPE
FIT,NNP,I-TYPE
KEMEJA,NNP,B-TYPE
KANTOR,NNP,I-TYPE
KEMEJA,NNP,B-TYPE
FORMAL,NNP,I-TYPE
Tablet,NNP,B-TYPE
ASUS,NNP,B-BRAND
4GB,CD,B-RAM
Promo,NNP,O
Notebook,NNP,B-TYPE
Baru,NNP,O
Acer,NNP,B-BRAND
Aspire,NNP,I-BRAND
3,CD,I-BRAND
A315,CD,B-NAME
41,CD,O
AMD,NNP,B-BRAND
Ryzen,NNP,I-BRAND
Ryzen,NNP,B-PROCESSOR
3,CD,I-PROCESSOR
2200U,CD,B-NAME
RAM,NN,B-RAM
4GB,CD,I-RAM
1TB,CD,B-CAPACITY
W10,NNP,B-OS
Black,NNP,B-OS
Laptop,NNP,B-TYPE
Murah,NNP,O
Gratis,NNP,O
Tas,NNP,O
Bergaransi,NNP,O
Promo,NNP,O
Notebook,NNP,B-TYPE
Baru,NNP,O
HP,NNP,B-BRAND
15,CD,B-TYPE
DB0005AU,NNP,I-TYPE
AMD,NNP,B-TYPE
Dual,NNP,I-TYPE
Core,NNP,I-TYPE
E2,NNP,I-TYPE
9000e,CD,I-TYPE
4GB,CD,B-RAM
DDR4,CD,I-RAM
500,CD,B-CAPACITY
GB,NNP,I-CAPACITY
AMD,NNP,B-BRAND
Radeon,NNP,I-BRAND
R2,NNP,O
Graphics,NNP,O
15.6,NNP,O
W10,NNP,B-OS
Black,NNP,B-COLOR
Laptop,NNP,O
Murah,NNP,O
(Gratis,NNP,O
Tas),NNP,O
Bergaransi,NNP,O
Makita,NNP,B-BRAND
EBH,NNP,B-NAME
340,NNP,I-NAME
R,NNP,I-NAME
Mesin,NNP,B-TYPE
Potong,NNP,I-TYPE
Rumput,NNP,I-TYPE
Brush,NNP,B-NAME
Cutter,NNP,I-NAME
4,CD,I-NAME
Tak,NNP,I-NAME
Made,NNP,O
In,NNP,O
JAPAN,NNP,O
knalpot,FW,B-TYPE
termignoni,FW,B-BRAND
jupiter,FW,B-BRAND
z,FW,I-BRAND
mx135,CD,B-BRAND
dan,CC,O
mx,FW,B-BRAND
king,FW,I-BRAND
f0-set,CD,O
choco,NN,B-THEME
girl,NN,I-THEME
3-5thn,CD,B-AGE
Geil,NNP,B-BRAND
Evo,NNP,B-NAME
X,NNP,I-NAME
Rgb,NNP,B-TYPE
Led,NNP,I-TYPE
2x4gb,NNP,I-TYPE
Ddr4,NNP,I-TYPE
Pc19200,NNP,I-TYPE
White,NNP,B-COLOR
Gexw48gb2400c16dc,NNP,B-TYPE
Yonex,NNP,B-BRAND
Duora,NNP,B-NAME
10,CD,I-NAME
Raket,NNP,B-TYPE
Badminton,NNP,I-TYPE
Explosive,NNP,B-NAME
Series,NNP,I-NAME
Beautylover,NNP,B-BRAND
Cami,NNP,B-TYPE
Hot,NNP,I-TYPE
Shaper,NNP,I-TYPE
Slimming,NNP,I-TYPE
Pembakar,NNP,B-TYPE
Lemak,NNP,I-TYPE
Handphone,NNP,B-TYPE
Apple,NNP,B-BRAND
iphone,NNP,I-NAME
6s,CD,I-NAME
2GB,CD,B-RAM
iOS,NN,B-OS
9,CD,I-OS
Black,NNP,B-COLOR
Quad-core,NNP,B-PROCESSOR
Polo,NNP,B-TYPE
shirt,VB,I-TYPE
for,NN,O
men,NN,B-GENDER
19,CD,O
colors,FW,O
size,FW,O
S-XL,FW,B-SIZE
Cetakan,VB,B-TYPE
Agar/puding,NNP,I-TYPE
Tunggal,NNP,O
Lion,NNP,B-SHAPE
Kualitas,NN,O
profesional,JJ,O
A3,CD,O
papan,NN,B-TYPE
gambar,NN,I-TYPE
meja,NN,I-TYPE
dengan,IN,O
gerak,NN,O
paralel,JJ,O
disesuaikan,VB,O
sudut,NN,O
kantor,NN,O
International,NNP,O
Jam,NNP,B-TYPE
Tangan,NNP,I-TYPE
Pria,NNP,B-GENDER
Sporty,NNP,O
SWISS,NNP,B-BRAND
ARMY,NNP,I-BRAND
premium,NNP,O
GGA,NNP,O
Diskon,NNP,O
STOCK,NNP,O
TERBATAS,NNP,O
Op5316,NNP,B-NAME
71,NNP,I-NAME
Catenzo,NNP,B-BRAND
Junior,NNP,B-AGE
Sweater,NNP,B-TYPE
Anak,NNP,B-AGE
cpl,NNP,B-NAME
912,NNP,I-NAME
Fleece,NNP,B-MATERIAL
Kode,NNP,O
Bimb5793,NNP,B-NAME
karet,NN,B-MATERIAL
dudukan,VB,B-TYPE
mesin,NN,I-TYPE
p-adj-ag-6x6-T29,CD,B-NAME
Voucher,NNP,B-TYPE
Pulsa,NNP,I-TYPE
3,CD,B-BRAND
tri,NN,B-BRAND
three,NN,B-BRAND
isi,NN,O
10rb,CD,O
Delcell,NNP,B-BRAND
Battery,NNP,B-TYPE
1400mAh,CD,B-CAPACITY
PSM,NNP,O
Makanan,NNP,B-TYPE
Kucing,NNP,I-TYPE
Whiskas,NNP,B-BRAND
500,CD,B-MASS
gram,NND,I-MASS
BONEKA,NNP,B-TYPE
TARIK,NNP,O
MUSIC,NNP,O
DUCK,NNP,O
MAINAN,NNP,B-TYPE
BAYI,NNP,I-TYPE
Casio,NNP,B-BRAND
Original,NNP,O
Jam,NNP,B-TYPE
Tangan,NNP,I-TYPE
Pria,NNP,B-GENDER
Stainless,NNP,B-MATERIAL
Silver,NNP,O
AE-1200WHD-1AVDFAE-1200WHD-1AVDF,NNP,O
OFFICE,NNP,B-NAME
PROFESSIONAL,NNP,I-NAME
PLUS,NNP,I-NAME
2016,NNP,I-NAME
ORIGINAL,NNP,O
LICENCE,NNP,B-TYPE
KEY,NNP,I-TYPE
SERIAL,NNP,B-TYPE
NUMBER,NNP,I-TYPE
SADDLE,NNP,B-TYPE
BAG,NNP,I-TYPE
TAS,NNP,B-TYPE
SADEL,NNP,I-TYPE
ROCKBROS,NNP,B-BRAND
KECIL,NNP,B-SIZE
BEST,NNP,O
ITEM,NNP,O
Dark,NNP,B-TYPE
Spot,NNP,I-TYPE
Correctors,NNP,I-TYPE
To,NNP,O
Improve,NNP,O
Your,NNP,O
Skin,NNP,O
Forsining,NNP,B-BRAND
Rose,NNP,B-COLOR
Gold,NNP,I-COLOR
Fashion,NNP,O
Designer,NNP,O
Transparent,NNP,O
Case,NNP,O
Men,NNP,B-GENDER
Watch,NNP,B-TYPE
Luxury,NNP,O
Mechanical,NNP,O
Automatic,NNP,O
Skeleton,NNP,O
Watch,NNP,B-TYPE
Clock,NNP,B-TYPE
intl,NNP,O
SanDisk,NNP,B-BRAND
Ultra,NNP,B-NAME
SDHC,NNP,B-TYPE
Card,NNP,I-TYPE
8GB,CD,B-CAPACITY
Garansi,NNP,O
Resmi,NNP,O
SanDisk,NNP,B-BRAND
Indonesia,NNP,O
Kabel,NNP,B-TYPE
Data,NNP,I-TYPE
Micro,NNP,B-TYPE
USB,NNP,I-TYPE
ORIGINAL,NNP,O
ORI,NNP,O
USB,NNP,B-TYPE
CABLE,NNP,I-TYPE
iPhone,IN,I-NAME
7,CD,I-NAME
3GB,CD,B-RAM
iOS,NN,B-OS
10,CD,I-OS
Gold,NNP,B-COLOR
Handphone,NNP,B-TYPE
Apple,NNP,B-BRAND
iphone,NNP,I-NAME
6s,CD,I-NAME
plus,JJ,I-NAME
2GB,CD,B-RAM
iOS,NN,B-OS
9,CD,I-OS
Gold,NNP,B-COLOR
Quad-core,NNP,B-PROCESSOR
Storage,FW,B-TYPE
box,FW,I-TYPE
warna,FW,O
(type,FW,O
2),CD,O
Da,NNP,B-BRAND
Vinci,NNP,I-BRAND
Syrup,NNP,B-TYPE
Majestic,NNP,B-NAME
Dijual,NNP,O
KOTAK,NNP,B-TYPE
OBAT,NNP,I-TYPE
P3K,NNP,I-TYPE
MASPION,NNP,B-BRAND
MC,NNP,B-NAME
11,CD,I-NAME
Diskon,NNP,O
20170821,CD,O
Santorini,NNP,B-BRAND
Jam,NNP,B-TYPE
Tangan,NNP,I-TYPE
LED,NNP,I-TYPE
Light,NNP,I-TYPE
Pria,NNP,B-GENDER
Wanita,NNP,B-GENDER
Fashion,NNP,B-TYPE
Casual,NNP,I-TYPE
Digital,NNP,I-TYPE
Quartz,NNP,B-MATERIAL
Silicone,NNP,B-MATERIAL
Men,NNP,B-GENDER
Watch,NNP,B-TYPE
Black,NNP,B-COLOR
Jual,NNP,O
Goon,NNP,B-BRAND
Pants,NNP,B-NAME
L,NNP,B-SIZE
XL,NNP,B-SIZE
XXL,NNP,B-SIZE
Mytaste,NNP,B-BRAND
Barbeque,NNP,B-NAME
Sauce,NNP,B-TYPE
Atau,NNP,O
Saus,NNP,O
BBQ,NNP,O
500gram,CD,B-MASS
Clearomizer,FW,B-TYPE
Kangertech,FW,B-BRAND
aero,FW,B-NAME
tank,FW,I-NAME
for,FW,O
vape/vaping/vapor/e-cigarete,FW,O
@jakvapor.com,FW,O
dBe,IN,B-BRAND
RCA10,NNP,B-NAME
RCA,NNP,B-TYPE
to,NNP,I-TYPE
RCA,NNP,I-TYPE
Audio,NNP,I-TYPE
Cable,NNP,I-TYPE
1.8m,CD,B-DIMENSION
Pigeon,NNP,B-BRAND
Botol,NNP,B-TYPE
RP,NNP,B-NAME
Coro,NNP,I-NAME
Stripes,NNP,I-NAME
240ml,CD,B-DIMENSION
[cantik],FW,O
AIKO,FW,B-BRAND
Kulit,FW,B-MATERIAL
sintetis,FW,I-MATERIAL
dompet,FW,B-TYPE
Waterproof,NNP,B-TYPE
360,NNP,I-TYPE
Degree,NNP,I-TYPE
Rotating,NNP,I-TYPE
Car,NNP,I-TYPE
Rear,NNP,I-TYPE
View,NNP,I-TYPE
Camera,NNP,I-TYPE
Parking,NNP,B-TYPE
Cam,NNP,I-TYPE
KelinciMadu,NNP,B-NAME
Mess,NNP,B-SHAPE
Shape,NNP,I-SHAPE
Flatshoes,NNP,B-TYPE
Brown,NNP,B-COLOR
Logitech,NNP,B-BRAND
M90,NNP,B-NAME
Optical,NNP,B-TYPE
Mouse,NNP,I-TYPE
Mouse,NNP,B-TYPE
Kabel,NNP,I-TYPE
Optik,NNP,I-TYPE
Hitam,NNP,B-COLOR
Tabung,NNP,B-TYPE
Grundfos,NNP,B-BRAND
Asli,NNP,O
Original,NNP,O
Hight,NNP,O
Quality,NNP,O
BEST,NNP,O
SELLER,NNP,O
FOR,NNP,O
VIVO,NNP,B-BRAND
V5,NNP,B-NAME
V5S,NNP,B-NAME
Y67,NNP,B-NAME
FASHION,NNP,O
LADY,NNP,B-GENDER
GIRL,NNP,B-GENDER
GODDESS,NNP,O
MATTE,NNP,B-COLOR
HARD,NNP,B-TYPE
CASE,NNP,I-TYPE
CASING,NNP,O
BEST,NNP,O
QUALITY,NNP,O
BEST,FW,O
SELLING,FW,O
krisbow,FW,B-BRAND
