Word_row,Word,POS,Label
0,realme,NN,B-BRAND
0,C2,CD,B-NAME
0,2/32GB,CD,B-CAPACITY
0,Resmi,NNP,O
0,TAM,NNP,O
0,Layar,NNP,O
0,Penuh,NNP,O
0,Dewdrop,NNP,O
0,Kamera,NNP,B-TYPE
0,Ganda,NNP,O
0,13MP,CD,O
0,2,CD,O
0,MP,NNP,O
0,AI,NNP,O
1,Redmi,NN,B-BRAND
1,7,CD,B-NAME
1,2/16GB,CD,B-CAPACITY
1,Resmi,NNP,O
1,TAM,NNP,O
2,PC,NNP,B-TYPE
2,Intel,NNP,B-PROCESSOR
2,Core,NNP,I-PROCESSOR
2,i7,NNP,I-PROCESSOR
2,Ram,NNP,B-RAM
2,16Gb,NNP,I-RAM
2,Vga,NNP,O
2,Gtx1650,NNP,O
2,4Gb,CD,B-RAM
2,Ddr5,CD,I-RAM
3,Laptop,NNP,B-TYPE
3,AMD,NNP,B-BRAND
4,Laptop,NNP,B-TYPE
4,Intel,NNP,B-BRAND
4,Windows,NNP,B-OS
4,10,NPP,B-OS
5,<,NNP,O
5,Handphone,NNP,B-TYPE
5,Xiomi,NNP,B-BRAND
5,redmi,VB,B-NAME
5,note,NN,I-NAME
5,3,CD,I-NAME
5,RAM,NN,B-RAM
5,2gb/16gb,CD,I-RAM
5,Lolipop,NN,B-OS
5,garansi,NN,O
5,1,CD,O
5,tahun,NN,O
6,[Exclusive,FW,O
6,Lazada],NNP,O
6,HP,NNP,B-BRAND
6,15-DB0005AU,CD,B-NAME
6,AMD,NNP,B-BRAND
6,Dual-Core,NNP,B-PROCESSOR
6,E2-9000e,NNP,B-NAME
6,4,CD,B-RAM
6,GB,NNP,I-RAM
6,DDR4,NNP,I-RAM
6,500,NNP,B-CAPACITY
6,GB,NNP,I-CAPACITY
6,W10,NNP,B-OS
6,Black,NNP,B-COLOR
6,Laptop,NNP,B-TYPE
6,Murah,NNP,O
6,(Gratis,NNP,O
6,Tas),NNP,O
6,Bergaransi,NNP,O
7,theclover,IN,B-BRAND
7,KEMEJA,NNP,B-TYPE
7,POLOS,NNP,I-TYPE
7,SLIM,NNP,I-TYPE
7,FIT,NNP,I-TYPE
7,KEMEJA,NNP,B-TYPE
7,KANTOR,NNP,I-TYPE
7,KEMEJA,NNP,B-TYPE
7,FORMAL,NNP,I-TYPE
8,Tablet,NNP,B-TYPE
8,ASUS,NNP,B-BRAND
8,4GB,CD,B-RAM
9,Promo,NNP,O
9,Notebook,NNP,B-TYPE
9,Baru,NNP,O
9,Acer,NNP,B-BRAND
9,Aspire,NNP,I-BRAND
9,3,CD,I-BRAND
9,A315,CD,B-NAME
9,41,CD,O
9,AMD,NNP,B-BRAND
9,Ryzen,NNP,I-BRAND
9,Ryzen,NNP,B-PROCESSOR
9,3,CD,I-PROCESSOR
9,2200U,CD,B-NAME
9,RAM,NN,B-RAM
9,4GB,CD,I-RAM
9,1TB,CD,B-CAPACITY
9,W10,NNP,B-OS
9,Black,NNP,B-COLOR
9,Laptop,NNP,B-TYPE
9,Murah,NNP,O
9,Gratis,NNP,O
9,Tas,NNP,O
9,Bergaransi,NNP,O
10,Promo,NNP,O
10,Notebook,NNP,B-TYPE
10,Baru,NNP,O
10,HP,NNP,B-BRAND
10,15,CD,B-TYPE
10,DB0005AU,NNP,I-TYPE
10,AMD,NNP,B-TYPE
10,Dual,NNP,I-TYPE
10,Core,NNP,I-TYPE
10,E2,NNP,I-TYPE
10,9000e,CD,I-TYPE
10,4GB,CD,B-RAM
10,DDR4,CD,I-RAM
10,500,CD,B-CAPACITY
10,GB,NNP,I-CAPACITY
10,AMD,NNP,B-BRAND
10,Radeon,NNP,I-BRAND
10,R2,NNP,O
10,Graphics,NNP,O
10,15.6,NNP,O
10,W10,NNP,B-OS
10,Black,NNP,B-COLOR
10,Laptop,NNP,B-TYPE
10,Murah,NNP,O
10,(Gratis,NNP,O
10,Tas),NNP,O
10,Bergaransi,NNP,O
11,Makita,NNP,B-BRAND
11,EBH,NNP,B-NAME
11,340,NNP,I-NAME
11,R,NNP,I-NAME
11,Mesin,NNP,B-TYPE
11,Potong,NNP,I-TYPE
11,Rumput,NNP,I-TYPE
11,Brush,NNP,B-NAME
11,Cutter,NNP,I-NAME
11,4,CD,I-NAME
11,Tak,NNP,I-NAME
11,Made,NNP,O
11,In,NNP,O
11,JAPAN,NNP,O
12,knalpot,FW,B-TYPE
12,termignoni,FW,B-BRAND
12,jupiter,FW,B-BRAND
12,z,FW,I-BRAND
12,",",Z,O
12,mx135,CD,B-BRAND
12,dan,CC,O
12,mx,FW,B-BRAND
12,king,FW,I-BRAND
13,f0-set,CD,O
13,choco,NN,B-THEME
13,girl,NN,I-THEME
13,3-5thn,CD,B-AGE
14,Geil,NNP,B-BRAND
14,Evo,NNP,B-NAME
14,X,NNP,I-NAME
14,Rgb,NNP,B-TYPE
14,Led,NNP,I-TYPE
