,Word_row,Word,POS,Label
0,0,realme,NN,B-BRAND
1,0,C2,CD,B-NAME
2,0,2/32GB,CD,B-CAPACITY
3,0,Resmi,NNP,O
4,0,TAM,NNP,O
5,0,Layar,NNP,O
6,0,Penuh,NNP,O
7,0,Dewdrop,NNP,O
8,0,Kamera,NNP,B-TYPE
9,0,Ganda,NNP,O
10,0,13MP,CD,O
11,0,2,CD,O
12,0,MP,NNP,O
13,0,AI,NNP,O
14,1,Redmi,NN,B-BRAND
15,1,7,CD,B-NAME
16,1,2/16GB,CD,B-CAPACITY
17,1,Resmi,NNP,O
18,1,TAM,NNP,O
19,2,PC,NNP,B-TYPE
20,2,Intel,NNP,B-PROCESSOR
21,2,Core,NNP,I-PROCESSOR
22,2,i7,NNP,I-PROCESSOR
23,2,Ram,NNP,B-RAM
24,2,16Gb,NNP,I-RAM
25,2,Vga,NNP,B-TYPE
26,2,Gtx1650,NNP,O
27,2,4Gb,CD,B-RAM
28,2,Ddr5,CD,I-RAM
29,3,Laptop,NNP,B-TYPE
30,3,AMD,NNP,B-BRAND
31,4,Laptop,NNP,B-TYPE
32,4,Intel,NNP,B-BRAND
33,5,<,NNP,O
34,5,Handphone,NNP,B-TYPE
35,5,Xiomi,NNP,B-BRAND
36,5,redmi,VB,B-BRAND
37,5,note,NN,I-NAME
38,5,3,CD,I-NAME
39,5,RAM,NN,B-RAM
40,5,2gb/16gb,CD,I-RAM
41,5,Lolipop,NN,B-OS
42,5,garansi,NN,O
43,5,1,CD,O
44,5,tahun,NN,O
45,6,[Exclusive,FW,O
46,6,Lazada],NNP,O
47,6,HP,NNP,B-BRAND
48,6,15-DB0005AU,CD,B-NAME
49,6,AMD,NNP,B-BRAND
50,6,Dual-Core,NNP,B-PROCESSOR
51,6,E2-9000e,NNP,B-NAME
52,6,4,CD,B-RAM
53,6,GB,NNP,I-RAM
54,6,DDR4,NNP,I-RAM
55,6,500,NNP,B-CAPACITY
56,6,GB,NNP,I-CAPACITY
57,6,W10,NNP,B-OS
58,6,Black,NNP,B-COLOR
59,6,Laptop,NNP,B-TYPE
60,6,Murah,NNP,O
61,6,(Gratis,NNP,O
62,6,Tas),NNP,O
63,6,Bergaransi,NNP,O
64,7,theclover,IN,B-BRAND
65,7,KEMEJA,NNP,B-TYPE
66,7,POLOS,NNP,I-TYPE
67,7,SLIM,NNP,B-BRAND
68,7,FIT,NNP,B-BRAND
69,7,KEMEJA,NNP,B-TYPE
70,7,KANTOR,NNP,I-TYPE
71,7,KEMEJA,NNP,B-TYPE
72,7,FORMAL,NNP,I-TYPE
73,8,Tablet,NNP,B-TYPE
74,8,ASUS,NNP,B-BRAND
75,8,4GB,CD,B-RAM
76,9,Promo,NNP,O
77,9,Notebook,NNP,B-TYPE
78,9,Baru,NNP,O
79,9,Acer,NNP,B-BRAND
80,9,Aspire,NNP,I-BRAND
81,9,3,CD,I-BRAND
82,9,A315,CD,B-NAME
83,9,41,CD,O
84,9,AMD,NNP,B-BRAND
85,9,Ryzen,NNP,I-BRAND
86,9,Ryzen,NNP,B-PROCESSOR
87,9,3,CD,I-PROCESSOR
88,9,2200U,CD,B-NAME
89,9,RAM,NN,B-RAM
90,9,4GB,CD,I-RAM
91,9,1TB,CD,B-CAPACITY
92,9,W10,NNP,B-OS
93,9,Black,NNP,B-COLOR
94,9,Laptop,NNP,B-TYPE
95,9,Murah,NNP,O
96,9,Gratis,NNP,O
97,9,Tas,NNP,B-TYPE
98,9,Bergaransi,NNP,O
99,10,Promo,NNP,O
100,10,Notebook,NNP,B-TYPE
101,10,Baru,NNP,O
102,10,HP,NNP,B-BRAND
103,10,15,CD,B-TYPE
104,10,DB0005AU,NNP,I-TYPE
105,10,AMD,NNP,B-BRAND
106,10,Dual,NNP,I-TYPE
107,10,Core,NNP,I-TYPE
108,10,E2,NNP,I-TYPE
109,10,9000e,CD,I-TYPE
110,10,4GB,CD,B-RAM
111,10,DDR4,CD,I-RAM
112,10,500,CD,B-CAPACITY
113,10,GB,NNP,I-CAPACITY
114,10,AMD,NNP,B-BRAND
115,10,Radeon,NNP,I-BRAND
116,10,R2,NNP,O
117,10,Graphics,NNP,B-TYPE
118,10,15.6,NNP,O
119,10,W10,NNP,B-OS
120,10,Black,NNP,B-COLOR
121,10,Laptop,NNP,B-TYPE
122,10,Murah,NNP,O
123,10,(Gratis,NNP,O
124,10,Tas),NNP,O
125,10,Bergaransi,NNP,O
126,11,Makita,NNP,B-BRAND
127,11,EBH,NNP,B-NAME
128,11,340,NNP,I-NAME
129,11,R,NNP,I-NAME
130,11,Mesin,NNP,B-TYPE
131,11,Potong,NNP,I-TYPE
132,11,Rumput,NNP,I-TYPE
133,11,Brush,NNP,B-NAME
134,11,Cutter,NNP,I-NAME
135,11,4,CD,B-BRAND
136,11,Tak,NNP,I-NAME
137,11,Made,NNP,O
138,11,In,NNP,O
139,11,JAPAN,NNP,O
140,12,knalpot,FW,B-TYPE
141,12,termignoni,FW,B-BRAND
142,12,jupiter,FW,B-BRAND
143,12,z,FW,I-BRAND
144,12,",",Z,O
145,12,mx135,CD,B-BRAND
146,12,dan,CC,O
147,12,mx,FW,B-BRAND
148,12,king,FW,I-BRAND
149,13,f0-set,CD,O
150,13,choco,NN,B-THEME
151,13,girl,NN,I-THEME
152,13,3-5thn,CD,B-AGE
153,14,Geil,NNP,B-BRAND
154,14,Evo,NNP,B-NAME
155,14,X,NNP,I-NAME
156,14,Rgb,NNP,B-TYPE
157,14,Led,NNP,I-TYPE
158,14,2x4gb,NNP,I-TYPE
159,14,Ddr4,NNP,I-TYPE
160,14,Pc19200,NNP,I-TYPE
161,14,White,NNP,B-COLOR
162,14,Gexw48gb2400c16dc,NNP,B-TYPE
163,15,Yonex,NNP,B-BRAND
164,15,Duora,NNP,B-NAME
165,15,10,CD,I-NAME
166,15,Raket,NNP,B-TYPE
167,15,Badminton,NNP,I-TYPE
168,15,Explosive,NNP,B-NAME
169,15,Series,NNP,I-NAME
170,16,Beautylover,NNP,B-BRAND
171,16,Cami,NNP,B-TYPE
172,16,Hot,NNP,I-TYPE
173,16,Shaper,NNP,I-TYPE
174,16,Slimming,NNP,I-TYPE
175,16,Pembakar,NNP,B-TYPE
176,16,Lemak,NNP,I-TYPE
177,17,Handphone,NNP,B-TYPE
178,17,Apple,NNP,B-BRAND
179,17,iphone,NNP,B-BRAND
180,17,6s,CD,I-NAME
181,17,2GB,CD,B-RAM
182,17,iOS,NN,B-OS
183,17,9,CD,I-OS
184,17,Black,NNP,B-COLOR
185,17,Quad-core,NNP,B-PROCESSOR
186,18,Polo,NNP,B-BRAND
187,18,shirt,VB,I-TYPE
188,18,for,NN,O
189,18,men,NN,B-GENDER
190,18,19,CD,O
191,18,colors,FW,B-TYPE
192,18,size,FW,O
193,18,S-XL,FW,B-SIZE
194,19,12,CD,O
195,19,Pcs,NNP,O
196,19,Cetakan,NNP,B-TYPE
197,19,Agar/puding,NNP,I-TYPE
198,19,Tunggal,NNP,O
199,19,Lion,NNP,B-SHAPE
200,20,Kualitas,NN,O
201,20,profesional,JJ,O
202,20,A3,CD,O
203,20,papan,NN,B-TYPE
204,20,gambar,NN,I-TYPE
205,20,meja,NN,I-TYPE
206,20,dengan,IN,B-TYPE
207,20,gerak,NN,O
208,20,paralel,JJ,O
209,20,disesuaikan,VB,O
210,20,sudut,NN,O
211,20,kantor,NN,O
212,20,International,NNP,O
213,21,Jam,NNP,B-TYPE
214,21,Tangan,NNP,I-TYPE
215,21,Pria,NNP,B-GENDER
216,21,Sporty,NNP,O
217,21,SWISS,NNP,B-BRAND
218,21,ARMY,NNP,I-BRAND
219,21,premium,NNP,B-TYPE
220,21,GGA,NNP,O
221,21,Diskon,NNP,O
222,22,STOCK,NNP,O
223,22,TERBATAS,NNP,O
224,22,Op5316,NNP,B-NAME
225,22,71,NNP,I-NAME
226,22,Catenzo,NNP,B-BRAND
227,22,Junior,NNP,B-AGE
228,22,Sweater,NNP,B-TYPE
229,22,Anak,NNP,B-AGE
230,22,cpl,NNP,B-NAME
231,22,912,NNP,I-NAME
232,22,Fleece,NNP,B-MATERIAL
233,22,Kode,NNP,O
234,22,Bimb5793,NNP,B-NAME
235,23,karet,NN,B-MATERIAL
236,23,dudukan,VB,B-TYPE
237,23,mesin,NN,I-TYPE
238,23,p-adj-ag-6x6-T29,CD,B-NAME
239,24,Voucher,NNP,B-TYPE
240,24,Pulsa,NNP,I-TYPE
241,24,3,CD,B-BRAND
242,24,tri,NN,B-BRAND
243,24,three,NN,B-BRAND
244,24,isi,NN,O
245,24,10rb,CD,O
246,25,Delcell,NNP,B-BRAND
247,25,Battery,NNP,B-TYPE
248,25,for,NNP,O
249,25,Blackberry,NNP,B-BRAND
250,25,9900,CD,B-NAME
251,25,JM-1,CD,I-NAME
252,25,1400mAh,CD,B-CAPACITY
253,26,PSM,NNP,O
254,26,Makanan,NNP,B-TYPE
255,26,Kucing,NNP,I-TYPE
256,26,Whiskas,NNP,B-BRAND
257,26,Ocean,NNP,O
258,26,Fish,NNP,B-TYPE
259,26,Repacking,NNP,O
260,26,500,CD,B-MASS
261,26,gram,NND,I-MASS
262,27,BONEKA,NNP,B-TYPE
263,27,TARIK,NNP,O
264,27,MUSIC,NNP,B-TYPE
265,27,DUCK,NNP,O
266,27,MAINAN,NNP,B-TYPE
267,27,BAYI,NNP,I-TYPE
268,28,Casio,NNP,B-BRAND
269,28,Original,NNP,O
270,28,Jam,NNP,B-TYPE
271,28,Tangan,NNP,I-TYPE
272,28,Pria,NNP,B-GENDER
273,28,Stainless,NNP,B-MATERIAL
274,28,Silver,NNP,B-COLOR
275,28,AE-1200WHD-1AVDFAE-1200WHD-1AVDF,NNP,O
276,29,OFFICE,NNP,B-NAME
277,29,PROFESSIONAL,NNP,I-NAME
278,29,PLUS,NNP,B-BRAND
279,29,2016,NNP,I-NAME
280,29,ORIGINAL,NNP,O
281,29,LICENCE,NNP,B-TYPE
282,29,KEY,NNP,I-TYPE
283,29,SERIAL,NNP,B-TYPE
284,29,NUMBER,NNP,I-TYPE
285,30,SADDLE,NNP,B-TYPE
286,30,BAG,NNP,I-TYPE
287,30,TAS,NNP,B-TYPE
288,30,SADEL,NNP,I-TYPE
289,30,ROCKBROS,NNP,B-BRAND
290,30,KECIL,NNP,B-SIZE
291,31,BEST,NNP,O
292,31,ITEM,NNP,O
293,31,Dark,NNP,B-TYPE
294,31,Spot,NNP,I-TYPE
295,31,Correctors,NNP,I-TYPE
296,31,To,NNP,O
297,31,Improve,NNP,O
298,31,Your,NNP,O
299,31,Skin,NNP,O
300,32,Forsining,NNP,B-BRAND
301,32,Rose,NNP,B-COLOR
302,32,Gold,NNP,I-COLOR
303,32,Fashion,NNP,B-TYPE
304,32,Designer,NNP,O
305,32,Transparent,NNP,B-TYPE
306,32,Case,NNP,B-TYPE
307,32,Men,NNP,B-GENDER
308,32,Watch,NNP,B-TYPE
309,33,Luxury,NNP,O
310,33,Mechanical,NNP,B-TYPE
311,33,Automatic,NNP,B-TYPE
312,33,Skeleton,NNP,O
313,33,Watch,NNP,B-TYPE
314,33,Clock,NNP,B-TYPE
315,33,intl,NNP,O
316,34,SanDisk,NNP,B-BRAND
317,34,Ultra,NNP,B-NAME
318,34,SDHC,NNP,B-TYPE
319,34,Card,NNP,I-TYPE
320,34,"TYPE=""TRANSFER",NNP,O
321,34,"RATE"">40MB/s",NNP,O
322,34,Class,NNP,O
323,34,10,CD,O
324,34,8GB,CD,B-CAPACITY
325,34,Garansi,NNP,O
326,34,Resmi,NNP,O
327,34,SanDisk,NNP,B-BRAND
328,34,Indonesia,NNP,O
329,35,Kabel,NNP,B-TYPE
330,35,Data,NNP,I-TYPE
331,35,ASUS,NNP,B-BRAND
332,35,Zenfone,NNP,B-NAME
333,35,Micro,NNP,B-TYPE
334,35,USB,NNP,B-BRAND
335,35,ORIGINAL,NNP,O
336,35,ORI,NNP,O
337,35,USB,NNP,B-TYPE
338,35,CABLE,NNP,I-TYPE
339,36,iPhone,IN,B-NAME
340,36,7,CD,I-NAME
341,36,3GB,CD,B-RAM
342,36,iOS,NN,B-OS
343,36,10,CD,I-OS
344,36,Gold,NNP,B-COLOR
345,37,Handphone,NNP,B-TYPE
346,37,Apple,NNP,B-BRAND
347,37,iphone,NNP,B-NAME
348,37,6s,CD,I-NAME
349,37,plus,JJ,I-NAME
350,37,2GB,CD,B-RAM
351,37,iOS,NN,B-OS
352,37,9,CD,I-OS
353,37,Gold,NNP,B-COLOR
354,37,Quad-core,NNP,B-PROCESSOR
355,38,Storage,FW,B-TYPE
356,38,box,FW,B-BRAND
357,38,warna,FW,B-COLOR
358,38,(type,FW,O
359,38,2),CD,O
360,39,Da,NNP,B-BRAND
361,39,Vinci,NNP,I-BRAND
362,39,Syrup,NNP,B-TYPE
363,39,Majestic,NNP,B-NAME
364,39,Mango,NNP,O
365,40,Dijual,NNP,O
366,40,KOTAK,NNP,B-TYPE
367,40,OBAT,NNP,I-TYPE
368,40,P3K,NNP,I-TYPE
369,40,MASPION,NNP,B-BRAND
370,40,MC,NNP,B-NAME
371,40,11,CD,I-NAME
372,40,Diskon,NNP,O
373,40,20170821,CD,O
374,41,Santorini,NNP,B-BRAND
375,41,Jam,NNP,B-TYPE
376,41,Tangan,NNP,I-TYPE
377,41,LED,NNP,I-TYPE
378,41,Light,NNP,I-TYPE
379,41,Pria,NNP,B-GENDER
380,41,Wanita,NNP,B-GENDER
381,41,Fashion,NNP,B-TYPE
382,41,Casual,NNP,I-TYPE
383,41,Digital,NNP,B-BRAND
384,42,Quartz,NNP,B-MATERIAL
385,42,Silicone,NNP,B-MATERIAL
386,42,Men,NNP,B-GENDER
387,42,Lady,NNP,B-GENDER
388,42,Watch,NNP,B-TYPE
389,42,Black,NNP,B-COLOR
390,43,Jual,NNP,O
391,43,Goon,NNP,B-BRAND
392,43,Pants,NNP,B-BRAND
393,43,L,NNP,B-SIZE
394,43,50,CD,O
395,43,XL,NNP,B-SIZE
396,43,44,NNP,O
397,43,XXL,NNP,B-SIZE
398,43,36,CD,O
399,43,Murah,NN,O
400,43,20170821,CD,O
401,44,Mytaste,NNP,B-BRAND
402,44,Barbeque,NNP,B-NAME
403,44,Sauce,NNP,B-TYPE
404,44,Atau,NNP,O
405,44,Saus,NNP,B-TYPE
406,44,BBQ,NNP,B-TYPE
407,44,500gram,CD,B-MASS
408,45,Clearomizer,FW,B-TYPE
409,45,Kangertech,FW,B-BRAND
410,45,aero,FW,B-NAME
411,45,tank,FW,I-NAME
412,45,for,FW,O
413,45,vape/vaping/vapor/e-cigarete,FW,O
414,45,@jakvapor.com,FW,O
415,46,dBe,IN,B-BRAND
416,46,RCA10,NNP,B-NAME
417,46,RCA,NNP,B-TYPE
418,46,to,NNP,I-TYPE
419,46,RCA,NNP,I-TYPE
420,46,Audio,NNP,I-TYPE
421,46,Cable,NNP,I-TYPE
422,46,1.8m,CD,B-DIMENSION
423,47,Pigeon,NNP,B-BRAND
424,47,Botol,NNP,B-TYPE
425,47,RP,NNP,B-NAME
426,47,Coro,NNP,I-NAME
427,47,Stripes,NNP,I-NAME
428,47,240ml,CD,B-DIMENSION
429,48,[cantik],FW,O
430,48,AIKO,FW,B-BRAND
431,48,Kulit,FW,B-MATERIAL
432,48,sintetis,FW,I-MATERIAL
433,48,dompet,FW,B-TYPE
434,49,Waterproof,NNP,B-TYPE
435,49,360,NNP,I-TYPE
436,49,Degree,NNP,I-TYPE
437,49,Rotating,NNP,I-TYPE
438,49,Car,NNP,I-TYPE
439,49,Rear,NNP,I-TYPE
440,49,View,NNP,I-TYPE
441,49,Camera,NNP,B-BRAND
442,49,Parking,NNP,B-TYPE
443,49,Cam,NNP,I-TYPE
444,50,intl,JJ,O
445,51,KelinciMadu,NNP,B-NAME
446,51,Mess,NNP,B-SHAPE
447,51,Shape,NNP,I-SHAPE
448,51,Flatshoes,NNP,B-TYPE
449,51,Brown,NNP,B-COLOR
450,52,Logitech,NNP,B-BRAND
451,52,M90,NNP,B-NAME
452,52,Optical,NNP,B-TYPE
453,52,Mouse,NNP,I-TYPE
454,52,Mouse,NNP,B-TYPE
455,52,Kabel,NNP,I-TYPE
456,52,Optik,NNP,I-TYPE
457,52,Hitam,NNP,B-COLOR
458,53,Tabung,NNP,B-TYPE
459,53,Grundfos,NNP,B-BRAND
460,53,Asli,NNP,O
461,53,Original,NNP,O
462,53,Hight,NNP,O
463,53,Quality,NNP,O
464,54,BEST,NNP,O
465,54,SELLER,NNP,O
466,54,FOR,NNP,O
467,54,VIVO,NNP,B-BRAND
468,54,V5,NNP,B-NAME
469,54,V5S,NNP,B-NAME
470,54,Y67,NNP,B-NAME
471,54,FASHION,NNP,O
472,54,LADY,NNP,B-GENDER
473,54,GIRL,NNP,B-GENDER
474,54,GODDESS,NNP,O
475,54,MATTE,NNP,B-COLOR
476,54,HARD,NNP,B-TYPE
477,54,CASE,NNP,I-TYPE
478,54,CASING,NNP,B-TYPE
479,54,BEST,NNP,O
480,54,QUALITY,NNP,O
481,55,BEST,FW,O
482,55,SELLING,FW,O
483,55,krisbow,FW,B-BRAND
