word,word[-3],word[-2],word.isdigit,pos,all-ascii,next-word,next-word[-3],next-word[-2],next-word.isdigit,next-pos,next-next-word,next-next-word[-3],next-next-word[-2],next-next-word.isdigit,nextnextpos,prev-word,prev-word[-3],prev-word[-2],prev-word.isdigit,prev-pos,prev-prev-word,prev-prev-word[-3],prev-prev-word[-2],prev-prev-word.isdigit,prev-prev-pos,prev-iob,all-caps,capitalized,prev-all-caps,prev-capitalized,next-all-caps,next-capitalized,label
Laptop,top,op,False,NNP,True,AMD,AMD,MD,False,NNP,[END1],[END1],[END1],False,[END1],[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,B-TYPE
AMD,AMD,MD,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],Laptop,top,op,False,NNP,[START1],[START1],[START1],False,[START1],B-TYPE,False,True,True,True,True,True,B-BRAND
Laptop,top,op,False,NNP,True,Intel,tel,el,False,NNP,[END1],[END1],[END1],False,[END1],[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,B-TYPE
Intel,tel,el,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],Laptop,top,op,False,NNP,[START1],[START1],[START1],False,[START1],B-TYPE,True,True,True,True,True,True,B-BRAND
Promo,omo,mo,False,NNP,True,Notebook,ook,ok,False,NNP,Baru,aru,ru,False,NNP,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,O
Notebook,ook,ok,False,NNP,True,Baru,aru,ru,False,NNP,Acer,cer,er,False,NNP,Promo,omo,mo,False,NNP,[START1],[START1],[START1],False,[START1],O,True,True,True,True,True,True,B-TYPE
Baru,aru,ru,False,NNP,True,Acer,cer,er,False,NNP,Aspire,ire,re,False,NNP,Notebook,ook,ok,False,NNP,Promo,omo,mo,False,NNP,B-TYPE,True,True,True,True,True,True,O
Acer,cer,er,False,NNP,True,Aspire,ire,re,False,NNP,3,3,3,True,CD,Baru,aru,ru,False,NNP,Notebook,ook,ok,False,NNP,O,True,True,True,True,True,True,B-BRAND
Aspire,ire,re,False,NNP,True,3,3,3,True,CD,A315,315,15,False,CD,Acer,cer,er,False,NNP,Baru,aru,ru,False,NNP,B-BRAND,True,True,True,True,True,True,I-BRAND
3,3,3,True,CD,True,A315,315,15,False,CD,41,41,41,True,CD,Aspire,ire,re,False,NNP,Acer,cer,er,False,NNP,I-BRAND,True,False,True,True,True,True,I-BRAND
