,0
0,yang
1,untuk
2,pada
3,ke
4,para
5,namun
6,menurut
7,antara
8,dia
9,dua
10,ia
11,seperti
12,jika
13,jika
14,sehingga
15,kembali
16,dan
17,tidak
18,ini
19,karena
20,kepada
21,oleh
22,saat
23,harus
24,sementara
25,setelah
26,belum
27,kami
28,sekitar
29,bagi
30,serta
31,di
32,dari
33,telah
34,sebagai
35,masih
36,hal
37,ketika
38,adalah
39,itu
40,dalam
41,bisa
42,bahwa
43,atau
44,hanya
45,kita
46,dengan
47,akan
48,juga
49,ada
50,mereka
51,sudah
52,saya
53,terhadap
54,secara
55,agar
56,lain
57,anda
58,begitu
59,mengapa
60,kenapa
61,yaitu
62,yakni
63,daripada
64,itulah
65,lagi
66,maka
67,tentang
68,demi
69,dimana
70,kemana
71,pula
72,sambil
73,sebelum
74,sesudah
75,supaya
76,guna
77,kah
78,pun
79,sampai
80,sedangkan
81,selagi
82,sementara
83,tetapi
84,apakah
85,kecuali
86,sebab
87,selain
88,seolah
89,seraya
90,seterusnya
91,tanpa
92,agak
93,boleh
94,dapat
95,dsb
96,dst
97,dll
98,dahulu
99,dulunya
100,anu
101,demikian
102,tapi
103,ingin
104,juga
105,nggak
106,mari
107,nanti
108,melainkan
109,oh
110,ok
111,seharusnya
112,sebetulnya
113,setiap
114,setidaknya
115,sesuatu
116,pasti
117,saja
118,toh
119,ya
120,walau
121,tolong
122,tentu
123,amat
124,apalagi
125,bagaimanapun
